MSH	MSH.Top	Disease	Indication	Category
phosphoenolpyruvate carboxykinase 2 deficiency	Nervous System Diseases	"PEPCK deficiency, mitochondrial,  "		
phosphoenolpyruvate carboxykinase deficiency	Digestive System Diseases	"?Phosphoenolpyruvate carboxykinase-1, cytosolic, deficiency,  "		Digestive system
phosphoglycerate dehydrogenase deficiency	Musculoskeletal Diseases	"Phosphoglycerate dehydrogenase deficiency,  "		
phosphoglycerate kinase 1 deficiency	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Phosphoglycerate kinase 1 deficiency,  "		
phosphoribosylpyrophosphate synthetase superactivity	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Phosphoribosylpyrophosphate synthetase superactivity,  "		
phosphorus metabolism disorders		Serum phosphorus concentrations		Metabolic
phosphoserine aminotransferase deficiency	Musculoskeletal Diseases	"Phosphoserine aminotransferase deficiency,  "		
photophobia		skin sensitivity to sun		Eye
phytosterols		Serum Phytosterol Levels		Cardiovascular
pick disease of the brain		Hippocampal atrophy		
piebaldism	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Piebaldism,  "		
pierre robin syndrome with fetal chondrodysplasia	Musculoskeletal Diseases	"Weissenbacher-Zweymuller syndrome,  "		
pierson syndrome	Nervous System Diseases	"Pierson syndrome,  "		
pigmentation disorders		Burning and freckling		Skin & connective tissue
"pigmented nodular adrenocortical disease, primary, 1"	Endocrine System Diseases	"Pigmented nodular adrenocortical disease, primary, 1,  "		Endocrine
"pigmented nodular adrenocortical disease, primary, 2"	Endocrine System Diseases	"Pigmented nodular adrenocortical disease, primary, 2,  "		Endocrine
pigmented paravenous chorioretinal atrophy	Eye Diseases	"Pigmented paravenous chorioretinal atrophy,  "		Eye
pilomatrixoma	Neoplasms	"Colorectal adenomatous polyposis, autosomal recessive, with pilomatricomas,  "		
pitt-hopkins syndrome	Respiratory Tract Diseases	"Pitt-Hopkins syndrome,  "		
"pituitary hormone deficiency, combined, 1"	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Pituitary hormone deficiency, combined, 1,  "		
"pituitary hormone deficiency, combined, 2"	Musculoskeletal Diseases	"Pituitary hormone deficiency, combined, 2,  "		
"pituitary hormone deficiency, combined, 4"	Musculoskeletal Diseases	"Pituitary hormone deficiency, combined, 4,  "		
plasminogen activator inhibitor 1		Plasminogen activator inhibitor type 1 levels (PAI-1)		Blood
plasminogen activator inhibitor-1 deficiency	Hemic and Lymphatic Diseases	"Plasminogen activator inhibitor-1 deficiency,  "		Blood
"plasminogen deficiency, type i"	Eye Diseases	"Conjunctivitis, ligneous,  "		Eye
platelet count		Mean platelet volume		Blood
"platelet disorder, familial, with associated myeloid malignancy"	Neoplasms	"Platelet disorder, familial, with associated myeloid malignancy,  "		
platelet glycoprotein iv deficiency	Hemic and Lymphatic Diseases	"Platelet glycoprotein IV deficiency,  "		Blood
"platyspondylic lethal skeletal dysplasia, torrance type"	Musculoskeletal Diseases	"Platyspondylic skeletal dysplasia, Torrance type,  "		
pleuropulmonary blastoma	Neoplasms	"Pleuropulmonary blastoma,  "		
"pneumothorax, primary spontaneous"	Respiratory Tract Diseases	"Pneumothorax, primary spontaneous,  "		
poikiloderma of kindler	Stomatognathic Diseases	"Kindler syndrome,  "		
poikiloderma with neutropenia	Hemic and Lymphatic Diseases	"Poikiloderma with neutropenia,  "		Blood
"polycystic kidney, autosomal recessive"	Male Urogenital Diseases	"Polycystic kidney and hepatic disease,  "		
polycystic lipomembranous osteodysplasia with sclerosing leukoencephalopathy	Virus Diseases	"Nasu-Hakola disease,  "		
polycystic liver disease	Neoplasms	"Polycystic liver disease,  "		
"polycythemia, primary familial and congenital"	Hemic and Lymphatic Diseases	"[Erythrocytosis, familial, 1],  "		Blood
"polydactyly, preaxial 4"	Musculoskeletal Diseases	"Polydactyly, preaxial, type IV,  "		
"polyhydramnios, megalencephaly, and symptomatic epilepsy"	Musculoskeletal Diseases	"Polyhydramnios, megalencephaly, and symptomatic epilepsy,  "		
polymicrogyria with optic nerve hypoplasia	Nervous System Diseases	"Polymicrogyria with optic nerve hypoplasia,  "		
"polymicrogyria, bilateral frontoparietal"	Nervous System Diseases	"Polymicrogyria, bilateral frontoparietal,  "		
"polyneuropathy, hearing loss, ataxia, retinitis pigmentosa, and cataract"	Nervous System Diseases	"Polyneuropathy, hearing loss, ataxia, retinitis pigmentosa, and cataract,  "		
"polyostotic osteolytic dysplasia, hereditary expansile"	Musculoskeletal Diseases	"Osteolysis, familial expansile,  "		
"polyposis syndrome, hereditary mixed, 2"	Neoplasms	"Polyposis syndrome, hereditary mixed, 2,  "		
pontocerebellar hypoplasia type 1	Nervous System Diseases	"Pontocerebellar hypoplasia type 1A,  "		
pontocerebellar hypoplasia type 6	Nervous System Diseases	"Pontocerebellar hypoplasia, type 6,  "		
popliteal pterygium syndrome	Musculoskeletal Diseases	"Popliteal pterygium syndrome 1,  "		
"porokeratosis, disseminated superficial actinic 1"	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Porokeratosis 3, disseminated superficial actinic,  "		
porphyria cutanea tarda	Digestive System Diseases	"{Porphyria cutanea tarda, susceptibility to},  "		Digestive system
"porphyria, acute hepatic"	Digestive System Diseases	"{Lead poisoning, susceptibility to},  "		Digestive system
"porphyria, acute intermittent"	Digestive System Diseases	"Porphyria, acute intermittent, nonerythroid variant,  "		Digestive system
"porphyria, erythropoietic"	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Porphyria, congenital erythropoietic,  "		
"porphyria, south african type"	Digestive System Diseases	"{Porphyria variegata, susceptibility to},  "		Digestive system
posterior column ataxia with retinitis pigmentosa	Nervous System Diseases	"Ataxia, posterior column, with retinitis pigmentosa,  "		
potassium aggravated myotonia	Musculoskeletal Diseases	"Myotonia congenita, atypical, acetazolamide-responsive,  "		
"potassium channels, voltage-gated"		+176261 POTASSIUM CHANNEL; VOLTAGE-GATED; ISK-RELATED SUBFAMILY; MEMBER 1;		
"preaxial deficiency, postaxial polydactyly and hypospadias"	Musculoskeletal Diseases	"Guttmacher syndrome,  "		
"precocious puberty, central"	Endocrine System Diseases	"Precocious puberty, central, 1,  "		Endocrine
precursor cell lymphoblastic leukemia-lymphoma		Acute lymphoblastic leukemia		Oncology
prekallikrein deficiency	Hemic and Lymphatic Diseases	"Fletcher factor deficiency,  "		Blood
premature ovarian failure 2a	Female Urogenital Diseases and Pregnancy Complications	"Premature ovarian failure,  "		Urogenital
premature ovarian failure 2b	Female Urogenital Diseases and Pregnancy Complications	"Premature ovarian failure 2B,  "		Urogenital
premature ovarian failure 3	Female Urogenital Diseases and Pregnancy Complications	"Premature ovarian failure 3,  "		Urogenital
premature ovarian failure 5	Female Urogenital Diseases and Pregnancy Complications	"Premature ovarian failure 5,  "		Urogenital
premature ovarian failure 6	Female Urogenital Diseases and Pregnancy Complications	"Premature ovarian failure 6,  "		Urogenital
premature ovarian failure 7	Female Urogenital Diseases and Pregnancy Complications	"Premature ovarian failure 7,  "		Urogenital
"primary ciliary dyskinesia, 2"	Respiratory Tract Diseases	"Ciliary dyskinesia, primary, 2,  "		
"primary ciliary dyskinesia, 3"	Respiratory Tract Diseases	"Ciliary dyskinesia, primary, 3, with or without situs inversus,  "		
primary hyperoxaluria type 1	Male Urogenital Diseases	"Hyperoxaluria, primary, type 1,  "		
primary hyperoxaluria type 2	Male Urogenital Diseases	"Hyperoxaluria, primary, type II,  "		
primary lateral sclerosis juvenile	Nervous System Diseases	"Primary lateral sclerosis, juvenile,  "		
primary myelofibrosis	Hemic and Lymphatic Diseases	"Myelofibrosis with myeloid metaplasia, somatic,  "		Blood
primary ovarian insufficiency		Premature ovarian failure		
prion diseases		Prion diseases		Neurological/behavioral
"progressive external ophthalmoplegia with mitochondrial dna deletions, autosomal dominant, 1"	Nervous System Diseases	"Progressive external ophthalmoplegia, autosomal dominant,  "		
"progressive external ophthalmoplegia with mitochondrial dna deletions, autosomal dominant, 2"	Musculoskeletal Diseases	"Progressive external ophthalmoplegia with mitochondrial DNA deletions 3,  "		
"progressive external ophthalmoplegia with mitochondrial dna deletions, autosomal dominant, 3"	Musculoskeletal Diseases	"Progressive external ophthalmoplegia, autosomal dominant, 3,  "		
"progressive external ophthalmoplegia with mitochondrial dna deletions, autosomal dominant, 4"	Musculoskeletal Diseases	"Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant 4,  "		
"progressive external ophthalmoplegia with mitochondrial dna deletions, autosomal dominant, 5"	Musculoskeletal Diseases	"Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant, 5,  "		
"progressive external ophthalmoplegia with mitochondrial dna deletions, autosomal recessive"	Nervous System Diseases	"Progressive external ophthalmoplegia, autosomal recessive,  "		
"progressive familial heart block, type ib"	Cardiovascular Diseases	"Progressive familial heart block, type IB,  "		Cardiovascular
progressive hearing loss stapes fixation	Otorhinolaryngologic Diseases	"Deafness, X-linked 2,  "		
progressive supranuclear palsy atypical	Nervous System Diseases	"Supranuclear palsy, progressive atypical,  "		
proinsulin		Proinsulin levels		Diabetes
prolactinoma	Neoplasms	"Pituitary adenoma, prolactin-secreting,  "		
prolidase deficiency	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Prolidase deficiency,  "		
proline transport protein		*126455 SOLUTE CARRIER FAMILY 6 (NEUROTRANSMITTER TRANSPORTER; DOPAMINE);		
prolonged electroretinal response suppression	Eye Diseases	"Bradyopsia,  "		Eye
pro-opiomelanocortin		*176830 PROOPIOMELANOCORTIN; POMC		
proopiomelanocortin deficiency	Nutritional and Metabolic Diseases	"Obesity, adrenal insufficiency, and red hair due to POMC deficiency,  "		
"properdin deficiency, x-linked"	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Properdin deficiency, X-linked,  "		
propionic acidemia	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Propionicacidemia,  "		
propping zerres syndrome	Musculoskeletal Diseases	"ADULT syndrome,  "		
"prostaglandins f, synthetic"		latanoprost efficacy		
"prostate cancer, hereditary, 12"	Neoplasms	"{Prostate cancer, hereditary, 12},  "		
"prostate cancer, hereditary, 13"	Neoplasms	"{Prostate cancer, hereditary, 13},  "		
prostate-specific antigen		Prostate-specific antigen levels		Oncology
protein c deficiency		Plasma levels of Protein C		Blood
proteus syndrome	Neoplasms	"Proteus syndrome, somatic,  "		
prothrombin time		Prothrombin time		Blood
proto-oncogene proteins p21(ras)		*190020 V-HA-RAS HARVEY RAT SARCOMA VIRAL ONCOGENE HOMOLOG; HRAS		
"protoporphyria, erythropoietic"	Digestive System Diseases	"Protoporphyria, erythropoietic, autosomal recessive,  "		Digestive system
proud syndrome	Nervous System Diseases	"Proud syndrome,  "		
pseudoachondroplasia	Musculoskeletal Diseases	"Pseudoachondroplasia,  "		
pseudofolliculitis barbae	Skin and Connective Tissue Diseases	"{Pseudofolliculitis barbae, susceptibility to},  "		
pseudohypoaldosteronism	Male Urogenital Diseases	"Pseudohypoparathyroidism Ic,  "		
pseudopseudohypoparathyroidism	Musculoskeletal Diseases	"Pseudopseudohypoparathyroidism,  "		
pseudovaginal perineoscrotal hypospadias	Male Urogenital Diseases	"Pseudovaginal perineoscrotal hypospadias,  "		
pseudoxanthoma elasticum	Cardiovascular Diseases	"{Pseudoxanthoma elasticum, modifier of severity of},  "		Cardiovascular
pseudoxanthoma elasticum-like disorder with multiple coagulation factor deficiency	Cardiovascular Diseases	"Pseudoxanthoma elasticum-like disorder with multiple coagulation factor deficiency,  "		Cardiovascular
psychomotor performance		Cognitive performance		
"psychoses, substance-induced"		Caffeine consumption		Neurological/behavioral
"ptosis, hereditary congenital 1"	Eye Diseases	"?Ptosis, congenital,  "		Eye
pulmonary alveolar microlithiasis	Respiratory Tract Diseases	"Pulmonary alveolar microlithiasis,  "		
purine nucleoside phosphorylase deficiency	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Immunodeficiency due to purine nucleoside phosphorylase deficiency,  "		
pycnodysostosis	Musculoskeletal Diseases	"Pycnodysostosis,  "		
"pyloric stenosis, hypertrophic"		Infantile hypertrophic pyloric stenosis		Digestive system
"pyogenic arthritis, pyoderma gangrenosum, and acne"	Bacterial Infections and Mycoses	"Pyogenic sterile arthritis, pyoderma gangrenosum, and acne,  "		Infection
pyridoxamine 5-prime-phosphate oxidase deficiency	Nervous System Diseases	"Pyridoxamine 5'-phosphate oxidase deficiency,  "		
pyridoxine-dependent epilepsy	Nervous System Diseases	"Epilepsy, pyridoxine-dependent,  "		
"pyropoikilocytosis, hereditary"	Hemic and Lymphatic Diseases	"Pyropoikilocytosis,  "		Blood
pyruvate carboxylase deficiency disease	Nervous System Diseases	"Pyruvate carboxylase deficiency,  "		
pyruvate dehydrogenase complex deficiency disease	Nervous System Diseases	"Pyruvate dehydrogenase E1-alpha deficiency,  "		
pyruvate dehydrogenase e2 deficiency	Nervous System Diseases	"Pyruvate dehydrogenase E2 deficiency,  "		
pyruvate dehydrogenase e3-binding protein deficiency	Nervous System Diseases	"Lacticacidemia due to PDX1 deficiency,  "		
pyruvate dehydrogenase phosphatase deficiency	Nutritional and Metabolic Diseases	"Pyruvate dehydrogenase phosphatase deficiency,  "		
pyruvate kinase deficiency of red cells	Hemic and Lymphatic Diseases	"Pyruvate kinase deficiency,  "		Blood
quantitative trait loci		Multiple continuous traits in DGI samples		Miscellaneous
"quantitative trait, heritable"		GWAS of hematology traits in Australian and Dutch populations		Miscellaneous
quinazolines		Lapatinib-induced hepatotoxicity		
radioulnar synostosis with amegakaryocytic thrombocytopenia	Musculoskeletal Diseases	"Radioulnar synostosis with amegakaryocytic thrombocytopenia,  "		
raine syndrome	Musculoskeletal Diseases	"Raine syndrome,  "		
rapadilino syndrome	Musculoskeletal Diseases	"RAPADILINO syndrome,  "		
rapp-hodgkin syndrome	Musculoskeletal Diseases	"Rapp-Hodgkin syndrome,  "		
receptor tyrosine-protein kinase erbb-4		*600543 V-ERB-B2 AVIAN ERYTHROBLASTIC LEUKEMIA VIRAL ONCOGENE HOMOLOG 4; ERBB4		
"receptor, serotonin, 5-ht2a"		*182135 5-@HYDROXYTRYPTAMINE RECEPTOR 2A; HTR2A		
"receptors, adrenergic, alpha-2"		*104210 ALPHA-2A-ADRENERGIC RECEPTOR; ADRA2A		
"receptors, calcitriol"		*601769 VITAMIN D RECEPTOR; VDR		
"receptors, gaba-a"		*137141 GAMMA-AMINOBUTYRIC ACID RECEPTOR; ALPHA-4; GABRA4		
"receptors, leptin"		Soluble leptin receptor levels		Metabolic
"recombination, genetic"		Recombination rate (males)		Miscellaneous
refractive errors		Refractive error		Eye
refsum disease	Nervous System Diseases	"Refsum disease,  "		
"refsum disease, infantile"	Nervous System Diseases	"Peroxisome biogenesis disorder 3B,  "		
renal cysts and diabetes syndrome	Nervous System Diseases	"Renal cysts and diabetes syndrome,  "		
renal hepatic pancreatic dysplasia dandy walker cyst	Neoplasms	"Meckel syndrome 7,  "		
"renal hypodysplasia, nonsyndromic, 1"	Male Urogenital Diseases	"{Congenital anomalies of kidney and urinary tract, susceptibility to},  "		
renal hypouricemia	Male Urogenital Diseases	"Hypouricemia, renal,  "		
"renal insufficiency, chronic"		Renal function and chronic kidney disease		Liver & kidney
"renal tubular acidosis, distal, autosomal recessive"	Male Urogenital Diseases	"Renal tubular acidosis, distal, autosomal recessive,  "		
"renal tubular acidosis, distal, with hemolytic anemia"	Male Urogenital Diseases	"Renal tubular acidosis, distal, AR,  "		
"renal tubular acidosis, distal, with progressive nerve deafness"	Otorhinolaryngologic Diseases	"Renal tubular acidosis with deafness,  "		
"renal tubular acidosis, proximal, with ocular abnormalities and mental retardation"	Nervous System Diseases	"Renal tubular acidosis, proximal, with ocular abnormalities,  "		
"renal tubular transport, inborn errors"		Urinary metabolites		Liver & kidney
